
0it [00:00, ?it/s]
1it [00:00,  1.63it/s]
2it [00:00,  2.81it/s]
4it [00:00,  5.28it/s]
5it [00:01,  5.92it/s]
6it [00:01,  5.89it/s]
8it [00:01,  7.01it/s]
9it [00:01,  6.85it/s]
10it [00:01,  7.12it/s]
11it [00:01,  6.83it/s]
12it [00:02,  7.20it/s]
13it [00:02,  7.32it/s]
15it [00:02,  7.95it/s]
17it [00:02,  9.07it/s]
18it [00:02,  8.94it/s]
20it [00:02,  9.55it/s]
21it [00:03,  8.81it/s]
22it [00:03,  8.11it/s]
24it [00:03,  8.82it/s]
25it [00:03,  8.13it/s]
26it [00:03,  8.17it/s]
28it [00:03,  8.48it/s]
29it [00:04,  8.43it/s]
30it [00:04,  8.45it/s]
32it [00:04,  9.95it/s]
34it [00:04,  9.17it/s]
36it [00:04,  9.79it/s]
38it [00:04, 10.59it/s]
40it [00:05,  9.66it/s]
41it [00:05,  9.65it/s]
42it [00:05,  9.67it/s]
43it [00:05,  8.85it/s]
44it [00:05,  9.00it/s]
45it [00:05,  8.99it/s]
47it [00:05,  9.81it/s]
49it [00:06,  9.40it/s]
51it [00:06,  9.30it/s]
52it [00:06,  8.93it/s]
54it [00:06,  9.73it/s]
56it [00:06, 10.30it/s]
58it [00:07,  9.54it/s]
59it [00:07,  8.93it/s]
60it [00:07,  8.95it/s]
61it [00:07,  8.99it/s]
62it [00:07,  8.96it/s]
64it [00:07,  9.49it/s]
65it [00:07,  8.88it/s]
66it [00:07,  8.86it/s]
67it [00:08,  8.59it/s]
68it [00:08,  8.38it/s]
69it [00:08,  8.19it/s]
70it [00:08,  7.65it/s]
71it [00:08,  7.53it/s]
72it [00:08,  6.85it/s]
73it [00:08,  7.35it/s]
74it [00:08,  7.87it/s]
76it [00:09,  8.96it/s]
77it [00:09,  8.67it/s]
78it [00:09,  8.45it/s]
79it [00:09,  7.47it/s]
80it [00:09,  6.88it/s]
81it [00:09,  7.43it/s]
82it [00:10,  7.04it/s]
83it [00:10,  6.58it/s]
84it [00:10,  6.33it/s]
85it [00:10,  6.52it/s]
86it [00:10,  7.19it/s]
87it [00:10,  7.41it/s]
88it [00:10,  7.56it/s]
89it [00:11,  6.45it/s]
90it [00:11,  7.08it/s]
92it [00:11,  8.49it/s]
93it [00:11,  8.81it/s]
95it [00:11,  9.43it/s]
96it [00:11,  8.49it/s]
97it [00:12,  7.35it/s]
98it [00:12,  6.43it/s]
99it [00:12,  6.35it/s]
101it [00:12,  6.88it/s]
102it [00:12,  6.29it/s]
104it [00:13,  6.82it/s]
105it [00:13,  6.69it/s]
106it [00:13,  7.16it/s]
107it [00:13,  7.18it/s]
108it [00:13,  6.30it/s]
109it [00:13,  6.84it/s]
110it [00:14,  6.27it/s]
111it [00:14,  6.27it/s]
112it [00:14,  6.67it/s]
114it [00:14,  6.88it/s]
115it [00:14,  6.94it/s]
116it [00:14,  6.94it/s]
117it [00:15,  7.41it/s]
118it [00:15,  7.29it/s]
119it [00:15,  7.49it/s]
120it [00:15,  7.08it/s]
121it [00:15,  6.71it/s]
123it [00:15,  7.69it/s]
124it [00:15,  8.10it/s]
125it [00:16,  7.78it/s]
126it [00:16,  7.52it/s]
128it [00:16,  8.39it/s]
129it [00:16,  8.47it/s]
130it [00:16,  7.22it/s]
131it [00:16,  6.45it/s]
132it [00:17,  6.80it/s]
133it [00:17,  7.33it/s]
134it [00:17,  6.35it/s]
135it [00:17,  6.61it/s]
136it [00:17,  7.04it/s]
137it [00:17,  6.77it/s]
138it [00:17,  6.67it/s]
139it [00:18,  7.20it/s]
140it [00:18,  7.39it/s]
142it [00:18,  8.71it/s]
144it [00:18,  8.28it/s]
146it [00:18,  9.05it/s]
147it [00:18,  8.30it/s]
148it [00:19,  8.16it/s]
149it [00:19,  8.37it/s]
150it [00:19,  7.04it/s]
151it [00:19,  7.19it/s]
152it [00:19,  7.54it/s]
154it [00:19,  9.06it/s]
156it [00:20,  8.79it/s]
158it [00:20,  8.58it/s]
160it [00:20,  8.84it/s]
161it [00:20,  8.76it/s]
163it [00:20,  9.51it/s]
164it [00:20,  9.30it/s]
165it [00:21,  9.15it/s]
167it [00:21,  9.46it/s]
168it [00:21,  8.97it/s]
169it [00:21,  9.01it/s]
171it [00:21,  9.17it/s]
173it [00:21,  9.66it/s]
175it [00:22,  9.64it/s]
177it [00:22,  9.86it/s]
178it [00:22,  9.11it/s]
179it [00:22,  9.10it/s]
180it [00:22,  8.84it/s]
181it [00:22,  8.99it/s]
183it [00:23,  9.02it/s]
185it [00:23,  9.20it/s]
186it [00:23,  9.23it/s]
187it [00:23,  8.27it/s]
188it [00:23,  8.09it/s]
190it [00:23,  8.74it/s]
192it [00:24,  9.43it/s]
194it [00:24,  9.48it/s]
195it [00:24,  9.31it/s]
197it [00:24,  9.58it/s]
198it [00:24,  9.14it/s]
199it [00:24,  9.14it/s]
200it [00:24,  8.19it/s]
201it [00:25,  7.83it/s]
202it [00:25,  7.15it/s]
203it [00:25,  7.37it/s]
204it [00:25,  7.73it/s]
206it [00:25,  8.10it/s]
207it [00:25,  7.58it/s]
208it [00:26,  6.61it/s]
209it [00:26,  6.37it/s]
210it [00:26,  6.02it/s]
211it [00:26,  6.28it/s]
212it [00:26,  6.27it/s]
214it [00:26,  7.61it/s]
216it [00:27,  7.87it/s]
217it [00:27,  7.29it/s]
218it [00:27,  7.04it/s]
219it [00:27,  7.51it/s]
221it [00:27,  8.61it/s]
222it [00:27,  8.81it/s]
223it [00:28,  7.54it/s]
225it [00:28,  7.56it/s]
226it [00:28,  7.54it/s]
227it [00:28,  7.82it/s]
228it [00:28,  7.82it/s]
229it [00:28,  7.63it/s]
230it [00:29,  7.15it/s]
231it [00:29,  6.64it/s]
233it [00:29,  8.12it/s]
234it [00:29,  7.91it/s]
235it [00:29,  7.50it/s]
236it [00:29,  7.12it/s]
238it [00:30,  8.00it/s]
239it [00:30,  7.79it/s]
241it [00:30,  8.55it/s]
242it [00:30,  8.76it/s]
244it [00:30,  8.48it/s]
245it [00:30,  8.12it/s]
246it [00:30,  8.38it/s]
247it [00:31,  7.59it/s]
248it [00:31,  7.03it/s]
249it [00:31,  7.28it/s]
251it [00:31,  8.95it/s]
253it [00:31,  9.62it/s]
254it [00:31,  8.87it/s]
255it [00:32,  7.88it/s]
256it [00:32,  7.91it/s]
257it [00:32,  7.85it/s]
258it [00:32,  6.73it/s]
260it [00:32,  8.04it/s]
261it [00:32,  7.94it/s]
262it [00:33,  7.48it/s]
264it [00:33,  8.60it/s]
265it [00:33,  8.44it/s]
267it [00:33,  9.08it/s]
268it [00:33,  7.58it/s]
269it [00:33,  7.90it/s]
270it [00:34,  7.51it/s]
271it [00:34,  6.98it/s]
273it [00:34,  7.68it/s]
274it [00:34,  7.98it/s]
275it [00:34,  7.36it/s]
276it [00:34,  7.30it/s]
277it [00:34,  7.83it/s]
278it [00:35,  6.66it/s]
279it [00:35,  7.30it/s]
281it [00:35,  8.13it/s]
282it [00:35,  7.68it/s]
284it [00:35,  9.29it/s]
285it [00:35,  8.67it/s]
287it [00:36,  8.98it/s]
288it [00:36,  8.27it/s]
290it [00:36,  9.50it/s]
291it [00:36,  9.53it/s]
293it [00:36,  8.80it/s]
295it [00:37,  8.30it/s]
296it [00:37,  8.46it/s]
297it [00:37,  8.34it/s]
298it [00:37,  7.85it/s]
299it [00:37,  7.84it/s]
300it [00:37,  8.19it/s]
301it [00:37,  8.41it/s]
302it [00:37,  8.29it/s]
304it [00:38,  9.05it/s]
306it [00:38,  9.71it/s]
307it [00:38,  9.69it/s]
308it [00:38,  8.97it/s]
310it [00:38,  9.85it/s]
